year;country_a;country_b;pair;trade;gdp_a;gdp_b;distance
2010;Morocco;Egypt;MAR-EGY;1,8;1,01E+11;2,19E+11;3511,84
2010;Morocco;Spain;MAR-SPA;8,2;1,01E+11;1,43E+12;907,5
2010;Morocco;France;MAR-FRA;9;1,01E+11;2,65E+12;1701,16
2010;Morocco;China;MAR-CHI;2,5;1,01E+11;6,19E+12;9656,99
2010;Morocco;Saudi_arabia;MAR-SAU;2;1,01E+11;5,28E+11;4998,93
2011;Morocco;Egypt;MAR-EGY;2;1,10E+11;2,36E+11;3511,84
2011;Morocco;Spain;MAR-SPA;8,8;1,10E+11;1,49E+12;907,5
2011;Morocco;France;MAR-FRA;9,5;1,10E+11;2,87E+12;1701,16
2011;Morocco;China;MAR-CHI;2,9;1,10E+11;7,67E+12;9656,99
2011;Morocco;Saudi_arabia;MAR-SAU;2,2;1,10E+11;6,81E+11;4998,93
2012;Morocco;Egypt;MAR-EGY;2,3;1,07E+11;2,79E+11;3511,84
2012;Morocco;Spain;MAR-SPA;9,5;1,07E+11;1,33E+12;907,5
2012;Morocco;France;MAR-FRA;10;1,07E+11;2,68E+12;1701,16
2012;Morocco;China;MAR-CHI;3,4;1,07E+11;8,67E+12;9656,99
2012;Morocco;Saudi_arabia;MAR-SAU;2,5;1,07E+11;7,52E+11;4998,93
2013;Morocco;Egypt;MAR-EGY;2,5;1,16E+11;2,88E+11;3511,84
2013;Morocco;Spain;MAR-SPA;10,1;1,16E+11;1,36E+12;907,5
2013;Morocco;France;MAR-FRA;10,8;1,16E+11;2,82E+12;1701,16
2013;Morocco;China;MAR-CHI;4;1,16E+11;9,74E+12;9656,99
2013;Morocco;Saudi_arabia;MAR-SAU;2,8;1,16E+11;7,70E+11;4998,93
2014;Morocco;Egypt;MAR-EGY;2,8;1,19E+11;3,06E+11;3511,84
2014;Morocco;Spain;MAR-SPA;11;1,19E+11;1,38E+12;907,5
2014;Morocco;France;MAR-FRA;11,5;1,19E+11;2,86E+12;1701,16
2014;Morocco;China;MAR-CHI;4,8;1,19E+11;1,07E+13;9656,99
2014;Morocco;Saudi_arabia;MAR-SAU;3,1;1,19E+11;7,87E+11;4998,93
2015;Morocco;Egypt;MAR-EGY;3,1;1,10E+11;3,29E+11;3511,84
2015;Morocco;Spain;MAR-SPA;11,8;1,10E+11;1,21E+12;907,5
2015;Morocco;France;MAR-FRA;12,2;1,10E+11;2,44E+12;1701,16
2015;Morocco;China;MAR-CHI;5,5;1,10E+11;1,13E+13;9656,99
2015;Morocco;Saudi_arabia;MAR-SAU;3,5;1,10E+11;6,93E+11;4998,93
2016;Morocco;Egypt;MAR-EGY;3,4;1,12E+11;3,32E+11;3511,84
2016;Morocco;Spain;MAR-SPA;12,6;1,12E+11;1,24E+12;907,5
2016;Morocco;France;MAR-FRA;13;1,12E+11;2,47E+12;1701,16
2016;Morocco;China;MAR-CHI;6,3;1,12E+11;1,15E+13;9656,99
2016;Morocco;Saudi_arabia;MAR-SAU;3,9;1,12E+11;6,89E+11;4998,93
2017;Morocco;Egypt;MAR-EGY;3,7;1,19E+11;2,48E+11;3511,84
2017;Morocco;Spain;MAR-SPA;13,4;1,19E+11;1,32E+12;907,5
2017;Morocco;France;MAR-FRA;14;1,19E+11;2,59E+12;1701,16
2017;Morocco;China;MAR-CHI;7,1;1,19E+11;1,25E+13;9656,99
2017;Morocco;Saudi_arabia;MAR-SAU;4,2;1,19E+11;7,41E+11;4998,93
2018;Morocco;Egypt;MAR-EGY;4;1,27E+11;2,63E+11;3511,84
2018;Morocco;Spain;MAR-SPA;14,1;1,27E+11;1,43E+12;907,5
2018;Morocco;France;MAR-FRA;15;1,27E+11;2,78E+12;1701,16
2018;Morocco;China;MAR-CHI;8;1,27E+11;1,41E+13;9656,99
2018;Morocco;Saudi_arabia;MAR-SAU;4,6;1,27E+11;8,87E+11;4998,93
2019;Morocco;Egypt;MAR-EGY;4,3;1,29E+11;3,19E+11;3511,84
2019;Morocco;Spain;MAR-SPA;14,8;1,29E+11;1,40E+12;907,5
2019;Morocco;France;MAR-FRA;16;1,29E+11;2,72E+12;1701,16
2019;Morocco;China;MAR-CHI;8,9;1,29E+11;1,46E+13;9656,99
2019;Morocco;Saudi_arabia;MAR-SAU;5;1,29E+11;8,89E+11;4998,93
2020;Morocco;Egypt;MAR-EGY;4;1,21E+11;3,84E+11;3511,84
2020;Morocco;Spain;MAR-SPA;13,7;1,21E+11;1,29E+12;907,5
2020;Morocco;France;MAR-FRA;15;1,21E+11;2,65E+12;1701,16
2020;Morocco;China;MAR-CHI;9,4;1,21E+11;1,50E+13;9656,99
2020;Morocco;Saudi_arabia;MAR-SAU;4,8;1,21E+11;7,68E+11;4998,93
2010;Egypt;Morocco;EGY-MAR;1,8;2,19E+11;1,01E+11;3511,84
2010;Egypt;Spain;EGY-SPA;3,5;2,19E+11;1,43E+12;1514,58
2010;Egypt;France;EGY-FRA;5,2;2,19E+11;2,65E+12;3244,97
2010;Egypt;China;EGY-CHI;10;2,19E+11;6,19E+12;7038,77
2010;Egypt;Saudi_arabia;EGY-SAU;4,8;2,19E+11;5,28E+11;1514,58
2011;Egypt;Morocco;EGY-MAR;2;2,36E+11;1,10E+11;3511,84
2011;Egypt;Spain;EGY-SPA;3,8;2,36E+11;1,49E+12;1514,58
2011;Egypt;France;EGY-FRA;5,5;2,36E+11;2,87E+12;3244,97
2011;Egypt;China;EGY-CHI;11;2,36E+11;7,67E+12;7038,77
2011;Egypt;Saudi_arabia;EGY-SAU;5,2;2,36E+11;6,81E+11;1514,58
2012;Egypt;Morocco;EGY-MAR;2,3;2,79E+11;1,07E+11;3511,84
2012;Egypt;Spain;EGY-SPA;4,1;2,79E+11;1,33E+12;1514,58
2012;Egypt;France;EGY-FRA;5,9;2,79E+11;2,68E+12;3244,97
2012;Egypt;China;EGY-CHI;12;2,79E+11;8,67E+12;7038,77
2012;Egypt;Saudi_arabia;EGY-SAU;5,7;2,79E+11;7,52E+11;1514,58
2013;Egypt;Morocco;EGY-MAR;2,5;2,88E+11;1,16E+11;3511,84
2013;Egypt;Spain;EGY-SPA;4,5;2,88E+11;1,36E+12;1514,58
2013;Egypt;France;EGY-FRA;6,3;2,88E+11;2,82E+12;3244,97
2013;Egypt;China;EGY-CHI;13;2,88E+11;9,74E+12;7038,77
2013;Egypt;Saudi_arabia;EGY-SAU;6,1;2,88E+11;7,70E+11;1514,58
2014;Egypt;Morocco;EGY-MAR;2,8;3,06E+11;1,19E+11;3511,84
2014;Egypt;Spain;EGY-SPA;4,9;3,06E+11;1,38E+12;1514,58
2014;Egypt;France;EGY-FRA;6,8;3,06E+11;2,86E+12;3244,97
2014;Egypt;China;EGY-CHI;15;3,06E+11;1,07E+13;7038,77
2014;Egypt;Saudi_arabia;EGY-SAU;6,8;3,06E+11;7,87E+11;1514,58
2015;Egypt;Morocco;EGY-MAR;3,1;3,29E+11;1,10E+11;3511,84
